full_book_title,stated_publication_places,number_of_volumes,parisian_keyword
"Mémoires de Mademoiselle de Montpensier, fille de M. Gaston d'Orléans",n.pl.,1,NA
"Mémoires de Maximilien de Béthune, duc de Sully... mis en ordre; avec des remarques par M. L. D. L. D. L.",n.pl.,10,Histoire
"Mémoires de Mme la marquise de Pompadour, où l'on voit ce qui c'est passé de plus remarquable à la cour de France pendant les 20 derniers années du regne de Louis XV, écrits par elle",Liège,2,Histoire
"Mémoires d'un reine infortunée, entremêlés de lettres à plusieurs de ses parents et amies illustres, sur plusieurs sujets et en différentes occasions, traduits de l'anglais",n.pl.,1,Histoire
Mémoires historiques et politiques des Pays-Bas autrichiens,Neuchâtel,1,Histoire
"Mémoires physico-chimiques, sur l'influence de la lumière solaire pour modifier les êtres des trois règnes de la nature, et surtout ceux du règne végétal, par Jean Senebier",Geneva,3,Science et Arts
Mémoires pour servir à l'histoire de madame de Maintenon et à celle du siècle passé,Maestricht,16,Histoire
"Mémoires pour servir à l'histoire du siège de Gibraltar, par l'auteur des Batteries flottantes",n.pl.,1,Science et Arts
"Mémoires secrets pour servir à l'histoire de la république des lettres en France, depuis 1762 jusqu'à nos jours ou journal d'un observateur, par feu M. de Bachaumont",London,1,Histoire
Mémoires secrets pour servir à l'histoire de Perse,n.pl.,1,NA
"Mémoires sur la Bastille et sur la détention de M. Linguet, écrits par lui-même",n.pl.,1,Jurisprudence
Mémoires sur les maisons de force du royaume de France,n.pl.,1,NA
"Menagiana, ou les bons mots, les pensées critiques, historiques, morales et d'érudition de Ménage",n.pl.,1,NA
Méthode analytique pour apprendre philosophiquement les langues & principalement la langue françoise,Neuchâtel,1,Belles-Lettres
"Miroir (le) d'or, ou Les rois du Chéchian",Neuchâtel; Paris,4,Belles-Lettres
"Mizrim, ou Le sage à la cour: histoire égyptienne",Neuchâtel,1,Belles-Lettres
Moeurs (les),Paris,1,Théologie
"Monde (le), son origine, et son antiquité, première partie",n.pl.,1,NA
Montesquieu à Marseille: pièce en trois actes,Lausanne; Neuchâtel,1,Belles-Lettres
"Monumens de la vie privée des douze Césars, d'après une suite de pierres gravées sous leur règne",n.pl.,1,Histoire
"Monuments du culte secret des dames romaines, pour servir de suite aux Monuments de la vie privée des douze Césars",n.pl.,2,Histoire
"Morale (la) évangélique, ou Discours sur le sermon de Jésus-Christ sur la montagne",Neuchâtel,7,Théologie
"Mort (la) de Louis XI, roi de France: pièce historique",Neuchâtel,1,Belles-Lettres
Moyens (des) d'indemniser l'innocence injustement accusée & punie,n.pl.,1,Jurisprudence
"Muse (la) libertine, ou oeuvres posthumes de M. Dorat",n.pl.,1,Belles-Lettres
Mystères (les) du christianisme approfondis radicalement et reconnus physiquement vrais,London,2,Théologie
Nature (de la),n.pl.,1,NA
"Naufrage et aventures de M. Pierre Viaud, natif de Bordeaux, capitaine de navire",Neuchâtel,1,Histoire
"Nouveau (le) Testament en françois, avec des réflexions morales sur chaque verset ",Amsterdam,8,Théologie
Nouveautés,n.pl.,1,Belles-Lettres
"Nouveaux essais sur la noblesse, ou après recherché l'origine & l'état civil de l'homme chez les peuples connus, on se propose de le guider dans les différens âges & emplois de la vie... par M. Barthès",Neuchâtel,1,Histoire
"Nouveaux Mélanges philosophiques, historiques, critiques, etc., etc.,",n.pl.,1,NA
"Nouvel (le) Abeilard, ou Lettres de deux amans qui ne se sont jamais vus",En Suisse,4,Belles-Lettres
"Nouvelle (la) Messaline, tragédie en un acte",n.pl.,1,Belles-Lettres
Nouvelles,Bruxelles,1,Belles-Lettres
"Nuit (la) et le moment, ou les Matines de Cythère, dialogue, Nlle édition",London,1,Belles-Lettres
"Nymphomanie (la), ou traité de la fureur utérine",n.pl.,1,NA
Observations et dissertations de médecine pratique: publiées en forme de lettres,Lausanne,2,Science et Arts
"Observations historiques sur quelques écarts ou jeux de la nature, pour servir à l'histoire naturelle",Neuchâtel,1,Science et Arts
Observations physico-medicales sur l'electricité,Geneva,1,Science et Arts
"Observations pour M. le comte de Mirabeau sur les allégations, les infidélités & les erreurs répandues, soit dans la consultation pour M. de Monnier, soit dans les deux plaidoiries de sa cause, des samedis 20 & 27 avril 1782",n.pl.,1,Jurisprudence
"Notes et observations critiques sur S.-Sulpice de Paris, par F. C. L.",Paris,1,Science et Arts
"Observations sur la nature et sur le traitement de la rage, suivies d'un précis historique et critique des divers remèdes qui ont été employés jusqu'ici contre cette maladie, par M. Portal",Yverdon,1,Science et Arts
"Observations sur la religion, les loix, le gouvernement et les moeurs des Turcs",Neuchâtel,2,Histoire
"Observations sur la littérature en France, sur le barreau, les journaux, &c. ou Lettres d'un Parisien à son ami en province",n.pl.,1,Belles-Lettres
Observations sur le livre intitulé Système de la nature,Neuchâtel,2,Théologie
"Observations sur l'histoire de la Bastille, publiée par M. Linguet, avec des remarques sur le caractère de l'auteur",London,1,Jurisprudence
"Ode (l') sur l'anniversaire de la Saint-Barthélemy, pour l'année 1772",n.pl.,1,NA
"Oeufs rouges. Première partie. Sorhouet mourant à M. de Maupeou, chancelier de France",n.pl.,1,Histoire
Oeuvres,n.pl.,4,Science et Arts
Oeuvres de Crébillon fils,n.pl.,1,Belles-Lettres
"Oeuvres diverses de Monsieur de Grécourt. Nouvelle édition, augmentée du ""Philotanus"", de la ""Bibliothèque des damnés""",Amsterdam,4,Belles-Lettres
"Oeuvres (les) galantes et amoureuses d'Ovide, traduction nouvelle en vers français",n.pl.,6,Belles-Lettres
Oeuvres complètes,Neuchâtel,7,Belles-Lettres
Oeuvres de Mr. De la H****,Yverdon,3,Belles-Lettres
Oeuvres diverses d'un ancien magistrat,London,1,Science et Arts
"Oeuvres mêlées de Mme Le Prince de Beaumont, extraites des journaux et feuilles périodiques qui ont paru en Angleterre pendant le séjour qu'elle y a fait, rassemblées et imprimées pour la première fois en forme de recueil pour servir de suite à ses autres ouvrages",Maestricht,6,Belles-Lettres
"Papesse (la) Jeanne, poème en dix chants",n.pl.,1,Belles-Lettres
"Parapilla, poème en cinq chants, traduit de l'italien",n.pl.,1,Belles-Lettres
"Parfait (le) Bouvier, ou Instruction concernant la connoissance des boeufs et vaches... On y a joint deux Petits Traités pour les moutons et porcs... (et une Dissertation sur la maladie des chevaux qu'on nomme la morve). Par M. J.-G. Boutrolle",Rouen,1,Science et Arts
Parfait (le) teinturier françois,Bruxelles,1,Science et Arts
"Paris en miniature, d'après les dessins d'un nouvel Argus",Amsterdam,1,Histoire
"Passe-partout (la) de l'Eglise romaine, ou histoire des tromperies des prêtres et des moines en Espagne, par Antoine Gavin. Traduit de l'anglais par M. Janiçon",n.pl.,1,NA
Passe-temps (le) du sexe,Madrid,1,Belles-Lettres
"Paysan (le) perverti, ou les dangers de la ville, histoire récente mise au jour d'après les véritables lettres des personnages par N.E.R de la Bretonne",n.pl.,1,Belles-Lettres
Pensées nouvelles et philosophiques,Amsterdam,1,Science et Arts
Pensées philosophiques,n.pl.,1,Science et Arts
Pensées secrètes et observations critiques attribués à feu M. de S.-H.,n.pl.,1,NA
Pensées sur l'interprétation de la nature,n.pl.,1,NA
"Petit (le) geometre familier. ou Abrégé d'Arithmétique, d'Algèbre et de Géométrie",Geneva,1,Science et Arts
Petit Tableau (le) de Paris,n.pl.,1,NA
Petit-fils (le) d'Hercule,n.pl.,1,Belles-Lettres
"Petits Soupers (les) et les nuits de l'hôtel Bouill-n. Lettre de milord comte de ****** à milord ****** au sujet des récréations de M. de C-stri-s, ou de la danse de l'ours; anecdote singulière d'un cocher qui s'est perdu à l'hôtel Bouill-n, le 31 décembre 1778, à l'occasion de la danse de l'ours",n.pl.,1,NA
"Phanor et Thëmire, poeme pastoral en quatre chants, avec des notes, et la traduction d'une lettre d'un Bramine de Benarès à un de ses amis",Geneva,1,Belles-Lettres
"Philadelphien (le) à Genève, ou lettres d'un Américain sur la dernière révolution de Genève, sa constitution nouvelle, l'émigration en Irelande, etc., pouvant servir de tableau politique de Genève jusqu'en 1784",Dublin,1,Histoire
"Philosophe (le) du Port-au-bled: article du Journal de Paris, pour le 23 octobre 1781, de la lune le 7",n.pl.,1,Histoire
"Philosophe (le) indien, ou L'art de vivre heureux, dans la societé",n.pl.,1,Science et Arts
Philosophie (de la) de la nature,n.pl.,1,Science et Arts
"Pièces échappées du portefeuille de M. de Voltaire, comte de Tournay",Lausanne,1,Belles-Lettres
Pièces intéressantes et peu connues pour servir à l'histoire,Neuchâtel,1,Histoire
"Pièces justificatives concernant la déclaration des sentimens faussement attribués à M. de Ripert de Monclar, procureur-général au Parlement de Provence",London,1,Théologie
"Pièces philosophiques contenant i. ""Parité de la vie et de la mort,"" ii. ""Dialogues sur l'âme,"" iii. ""Brunus redivivus, ou traité des erreurs populaires, ouvrage critique, historique et philosophique, imité de Pompance.""",n.pl.,1,NA
"Plaisirs (les) de l'amour, ou Recueil de contes, histoires et poëmes galans",Mont-Parnasse,3,Belles-Lettres
Plaisirs (les) de tous les siècles et de tous les âges,n.pl.,1,NA
"Plaisirs (les) du cloître, comédie en trois actes et en vers libres, par de M.D.L.C.A.P",n.pl.,1,NA
"Plaisirs (les) secrets d'Angélique, ou ses voyages au bout du monde",n.pl.,1,NA
"Planta gagnant sa vie en honnête homme, ou Confrontations de M. le baron de Planta & de spectable Théodore Rilliet",n.pl.,1,Jurisprudence
"Poésies (les) d'Horace, traduites en françois",Paris,2,Belles-Lettres
Poésies de Mr. l'abbé Mangenot,Maestricht,1,Belles-Lettres
Poésies diverses,Geneva,1,Belles-Lettres
"Poésies helvétiennes, par M. B***",Lausanne,1,Belles-Lettres
"Portefeuille (le) trouvé, ou tablettes d'un curieux contenant une quantité de pièces fugitives de M. de Voltaire qui ne sont dans aucune de ses éditions",n.pl.,1,NA
"Portrait de Philippe II, roi d'Espagne",Amsterdam,1,Belles-Lettres
"Portraits des rois de France, par M. Mercier",Neuchâtel,4,Histoire
"Pot (le) aux roses, ou correspondance secrète et familière de l'honorable Thomas Boot, cordonnier royal, avec Sa Majesté George III, roi de la Grande Bretagne et ses ministres les Lords Stormont, Sandwich, Germaine, et North, sur les affaires présentes de l'Europe",n.pl.,1,NA
"Pot-pourri (le), étrennes aux gens de lettres",n.pl.,1,NA
Principes de droit naturel,Copenhagen; Geneva,2,Jurisprudence
Principes généraux et particuliers de la langue française,Paris,1,Belles-Lettres
"Privileges (les) des Suisses, ensemble Ceux accordés aux Villes Impériales & Anséatiques, & aux Habitans de Genefe, Résidens en France: Avec Des Observations sur la Justice des Suisses, fondées sur les principes du Droit Public",Yverdon,1,Jurisprudence
Progrès (les) de la raison dans la recherche du vrai. Ouvrage posthume de M. Helvétius,n.pl.,1,NA
Projet pour rendre la paix perpétuelle en Europe et générale entre toutes les puissances de l'Europe,n.pl.,1,NA
"Pyrrhonisme (le) de l'Eglise romaine, ou lettres du P.H.B.D.R.A.P. à M*** avec les réponses",n.pl.,1,NA
Questions sur l'Encyclopédie,n.pl.,9,Science et Arts
"Quinze joies (les) de mariage, ouvrage très-ancien, auquel on a joint le Blason des fausses amours, le Loyer des folles amours, et le Triomphe des muses contre l'amour. Le tout enrichi de remarques et de diverses leçons",n.pl.,1,NA
"Recès de la Diète des douze anciens cantons des Ligues suisse, tenue à Baden le 10 juillet 1549, envoyé au duc de Guise, gouverneur du duché de Bourgogne, pour faire jouir des exemptions du péage les gens du comté de Neuchâtel, comme faisant partie des Ligues suisses",Neuchâtel,1,Jurisprudence
Recherches sur l'origine de l'esclavage religieux et politique du peuple en France,London,1,Science et Arts
Recherches philosophiques sur le droit de la propriété considéré dans la nature,n.pl.,1,Jurisprudence
"Recherches philosophiques sur les Américains, ou mémoires intéressants pour servir à l'histoire de l'espèce humaine par M. de P***",Berlin,3,Histoire
"Recherches philosophiques sur les Egyptiens et les Chinois, par M. de P***",London,2,Histoire
"Recherches sur les miracles, par l'auteur de l'Examen des apologistes de la religion chrétienne",London,1,Théologie
Recherches sur l'indigénat helvétique de la Principauté de Neuchâtel et Vallangin,Neuchâtel,1,Histoire
Recherches sur l'influence de la lumière solaire pour métamorphoser l'air fixe en air pur par la végétation... par Jean Senebier,Geneva,1,Science et Arts
"Recueil alphabétique des droits de traites uniformes, de ceux d'entrée et de sortie, des cinq grosses fermes, de douane de Lyon et de Valence",Avignon,4,Science et Arts
Recueil de diverses pièces servant de supplément à l'histoire philosophique et politique des établissemens et du commerce des Européens dans les deux Indes par Guillaume-Thomas Raynal,Geneva; Neuchâtel,1,Histoire
"Recueil de pièces fugitives en prose et en vers, accompagnées de notes critiques et impartiales par M. de V.",n.pl.,1,Belles-Lettres
Recueil des pièces les plus intéressantes et les plus curieuses qui ont paru à l'occasion du voyage et du sejour de sa sainteté le Pape Pie VI à Vienne,Vienna,1,Histoire
[Recueil des poésies],n.pl.,1,Belles-Lettres
"Recueil des réclamations, remontrances, lettres, arrêtés, et protestations des parlements, cours des aides, chambres des comptes, bailliages, présidiaux, élections, au sujet de l'édit de décembre 1770, l'érection des conseils supérieurs, la supression des parlements, etc.",n.pl.,1,NA
Recueil d'ordonnances du Roy et réglemens du Conseil souverain d'Alsace,Colmar,1,Jurisprudence
Recueil nécessaire avec l'Evangile de la raison,n.pl.,2,Science et Arts
Réflexions d'un citoyen catholique sur les lois de France relatives aux protestants,Maestricht,1,Jurisprudence
"Reflexions d'un Suisse sur cette question: seroit-il avantageux aux l cantons catholiques d'abolir les ordres réguliers, ou tout au moins de les diminuer?",n.pl.,1,Histoire
Réflexions impartiales sur l'Evangile par feu M. de Mirabaud,n.pl.,1,NA
Réflexions philosophiques sur le Système de la nature,Neuchâtel,2,Théologie
"Réflexions sur les Confessions de J.J. Rousseau sur le caractere & le génie de cet écrivain, sur les causes & l'étendue de son influence sur l'opinion publique, enfin sur quelques principes de ses ouvrages insërées dans le Journal encyclopédique de l'année 1783",Paris,1,Histoire
"Réflexions sur les grands hommes qui sont morts en plaisantant, avec des poésies diverses, par M. D***",Amsterdam,1,Science et Arts
"Relation de ce qui s'est passé de plus intéressant dans la principauté de Neuchâtel & Valangin en Suisse, à l'occasion de la mort de son souverain le roi de Prusse Frédéric II de glorieuse mémoire, & de l'avènement au trône de S.M. le roi Frédéric-Guillaume II, aujourd'hui régnant",Neuchâtel,1,Histoire
Relation des derniers jours de M. J. J. Rousseau,Neuchâtel,1,Histoire
"Relation des derniers tremblemens de terre arrivés en Calabre et en Sicile..., par M.W. Hamilton; trad. de l'anglois; et enrichie de notes trad. de l'italien... [de] G. Sella,..",Geneva,1,Science et Arts
Remarques historiques et anecdotes sur le château de la Bastille,n.pl.,1,NA
"Remarques sur la musique et la danse, ou Lettres de M. G... [Mme Sara Goudar] à Milord P... [Pembroke.]",Venise,1,Science et Arts
"Remarques sur la partie de la relation du voyage Capitaine Cook, qui concerne le détroit entre l'Asie et l'Amérique dans une lettre adressée a M. D***",Geneva,1,Histoire
Remarques sur un nouveau système de fortification proposé par le Comte de Saxe dans ses mémoires sur l'art de la guerre,La Haye,1,Science et Arts
Remonstrances du Père Adam à Voltaire pour être mises à la suite de sa confession,n.pl.,1,Science et Arts
Rendez à César ce qui appartient à César; introduction à une nouvelle histoire des papes,n.pl.,1,Histoire
Requête au Grand conseil de la République de Genève en recours de la sentence criminelle rendue le 24 août 1780 contre spectable Th. Rilliet,n.pl.,1,Jurisprudence
"Richesse (la) de la Hollande, ouvrage dans lequel on expose l'origine du commerce et de la puissance des Hollandois",London,2,Histoire
Roland furieux. Poème héroïque de l'Arioste. Nouvelle traduction par M. le Comte de Tressan,Paris,5,Belles-Lettres
"Rosalie, ou le triomphe de l'inconstance",Hollande,1,Belles-Lettres
"Ruth, églogue sainte qui a remporté le prix de poésie de l'Académie françoise en 1784, par M. de Florian",Paris,1,Belles-Lettres
"Sainte Bible (la), qui contient le Vieux et le Nouveau Testament",Neuchâtel,2,Théologie
"Sang (le) innocent vengé, ou Discours sur les réparations dues aux accusés innocens",Berlin,1,Jurisprudence
"Science (la) et l'art de l'equitation, démontrés d'après la nature; ou thèorie et pratique de l'équitation, fondées sur l'anatomie, la méchanique, la géometrie, et la physique",Yverdon,1,Science et Arts
Secrets (les) de l'ordre des francs-maçons dévoilés et mis au jour par M***,n.pl.,1,NA
Sermon des cinquante,n.pl.,1,NA
"Sermon du papa Nicolas Charisteski, prononcé dans l'Eglise de Sainte-Toleranski, village de Lithuanie, le jour de Sainte Epiphanie",n.pl.,1,Histoire
Sermons sur différens textes de l'Ecriture-Sainte,Neuchâtel,2,Théologie
"Sermons sur divers sujets importans, par feu M. Guillaume Laget",Geneva,2,Théologie
Sermons sur divers textes de l'Écriture sainte,n.pl.,6,Théologie
Sermons sur les dogmes fondamentaux de la religion naturelle,Neuchâtel,1,Théologie
Sexe (la) galante,n.pl.,1,NA
"Sociabilité (de la), par M. l'abbé Pluquet",Yverdon,2,Science et Arts
"Socrate (le) rustique, ou description de la conduite économique et morale d'un paysan philosophe",Lausanne,2,Science et Arts
Soins faciles pour la propreté de la bouche... par M. Bourdet... suivis de l'art de soigner les pieds,Lausanne,1,Science et Arts
"Soldat (le) citoyen, ou Vues patriotiques sur la manière la plus avantageuse de pourvoir à la défense du royaume",Dans le pays de la liberté,1,Science et Arts
"Sonnettes (les), ou mémoires de monsieur le marquis de D***",n.pl.,1,Belles-Lettres
"Soupé (le) des petits-maîtres, ouvrage moral",n.pl.,1,NA
"Soupers (les) de Daphné et les dortoirs de Lacédémone, Anecdotes grecques, ou fragments historiques publiés pour la première fois et traduits sur la version arabe imprimée à Constantinople, l'an de l'hégire 1110 et de notre ère 1731",n.pl.,1,NA
"Stiepan-Annibale d'Albanie a Fréderic-Guillaume de Prusse. Epître pathétique, philosophique, historique, &c., ou, L'Alcoran des princes destinés au trone",Saint-Petersburg,1,Science et Arts
Subordination (la): sermon prononcé à Colombier le 17 septembre 1786 à l'occasion de la mort de Frédéric le Grand,n.pl.,1,Théologie
"Superstitieux (le), comédie en trois actes en vers par le sieur R",n.pl.,1,NA
"Supplément au Roman comique, ou mémoires pour servir à la vie de Jean Monnet, ci-devant Directeur de l'Opéra-Comique à Paris, de l'Opéra de Lyon et d'une Comédie française à Londres. Ecrits par lui-même",London,2,Belles-Lettres
"Système complete d'eduction publique, physique et morale, pour l'un & l'autre sexe & pour les diverses conditions",Neuchâtel,2,Science et Arts
Système de la nature ou Des loix du monde physique & du monde moral,London,2,Science et Arts
"Tableau de la guerre de la Pragmatique Sanction en Allemagne et en Italie, avec une relation originale de l'expédition du prince Charles-Édouard en Ecosse et en Angleterre, par un aide-de-camp général dans l'armée d'Espagne",Berne,2,Histoire
"Tableau de l'Europe, pour servir de supplément à l'Histoire philosophique",n.pl.,1,Histoire
Tableau de Paris,Amsterdam,4,Belles-Lettres
Tableau de Paris,Amsterdam,8,Belles-Lettres
"Tableau des maladies aiguës et chroniques, qui affectant les bestiaux de toute espece. Ouvrage couronné par la Société royale de médecine de Paris, en 1780 ",Neuchâtel,1,Science et Arts
"Ecumoire (l'), ou Tanzai et Néadarné, histoire japonoise, par M. de Crébillon le fils",Pékin,2,Belles-Lettres
Testament de Jean Meslier,n.pl.,1,NA
Testament politique de l'Angleterre,n.pl.,1,Science et Arts
Théâtre gaillard,n.pl.,2,Belles-Lettres
"Thébaïde (la) de Stace, traduction nouvelle, par M. l'abbé Cormiliolle",Paris,3,Belles-Lettres
"Théorie de l'art du mineur, par M. J. M. Geuss... traduite de l'allemand par M. A. L. Smeets",Maestricht,1,Science et Arts
Théorie des lois criminelles,Neuchâtel,2,Jurisprudence
"Thévenon (le), ou Les journées de la montagne",Neuchâtel,1,Belles-Lettres
"Thévenon (le), ou Les journées de la montagne/ Solitaire (le) du mont Jura ou Récréations d'un philosophe",Neuchâtel,2,Belles-Lettres
"Timée de Locres en grec et en français avec des dissertations sur les principales questions de la métaphysique, de la physique, & de la morale des anciens; qui peuvent servir de suite et de conclusion à la Philosophie du bon sens, par Mr. le marquis d'Argens",n.pl.,1,NA
"Tolérance (de la) dans la religion, ou de la liberté de conscience. Par Crellius. L'Intolérance convaincue de crime et de folie. Ouvrage traduit de l'anglais",n.pl.,1,NA
Tombeaux (les) de Vérone: drame en cinq actes,Neuchâtel,1,Belles-Lettres
Train (le) de Paris: ou Les bourgeois du tems. Comédie en cinqactes & en prose,Yverdon,1,Belles-Lettres
"Traite abrégé de la culture des arbres fruitiers, qui enseigne ce qu'il faut faire à cet égard chaque mois de l'année",Neuchâtel,1,Science et Arts
Traité de l'épilepsie par M. Tissot,Lausanne,1,Science et Arts
"Traité de paix entre sa majesté l'impératrice, reine de Hongrie et de Bohême, et sa majesté le roi de Prusse, conclu & signé à Teschen, le 13 mai 1779",Neuchâtel,1,Science et Arts
"Traité des droits du génie, dans lequel on examine si la connaissance de la vérité est avantageuse aux hommes et possible au philosophe",n.pl.,1,NA
"Traité des nerfs et de leurs maladies. De la catalepsie, de l'extase, de l'anoesthesie, de la migraine, et des maladies du cerveau ",Geneva,1,Science et Arts
"Traité du droit naturel et de l'application de ses principes au droit civil et au droit des gens, ouvrage posthume de Mr Vicat",Lausanne; Yverdon,4,Jurisprudence
"Traité général du commerce de l'Amérique... Par M. C**, ancien receveur des fermes du roi",Amsterdam,2,Science et Arts
"Traité sur la culture des mûriers blancs, la manière d'élever les vers à soie, et l'usage qu'on doit faire des cocons, par M. Pomier",n.pl.,1,Science et Arts
"Traité sur l'éducation des deux sexes, par M. Joli de St. Valier",London,1,Science et Arts
"Triomphe (le) de la nature, roman nouveau",Amsterdam; Paris,1,Belles-Lettres
"Triomphe (le) de l'humanité, ou les négociants généreux. Drame en deux actes et en prose. Par M. Bénéch",Lausanne,1,Belles-Lettres
"Utile (l') Emploi des religieux et des communalistes, ou mémoire politique à l'avantage des habitants de la campagne",Amsterdam,1,Science et Arts
"Vérité (de la), ou méditations sur tous les moyens de parvenir à la vérité dans toutes les connaissances humaines",Neuchâtel,1,Science et Arts
"Vicomte (le) de Barjac, ou mémoires pour servir à l'histoire de ce siècle, par M. C.... de L...., auteur des Liaisons dangereuses",Dublin,1,Belles-Lettres
"Vie (la) de David Hume, écrite par lui-même",London,1,Science et Arts
Vie (la) et les opinions de Tristram Shandy,Neuchâtel,2,Belles-Lettres
"Vie (la) privée du roi de Prusse, ou mémoires pour servir à la vie de M. de Voltaire, écrits par lui-même",n.pl.,2,Science et Arts
"Vie (la) privée d'un prince célèbre, ou détails des loisirs du prince Henri de Prusse dans sa retraite de Reinsberg",Veropolis,1,Histoire
"Vie de Louis depuis son avènement à la couronne jusqu'au 24 août 1774 exclusivement, jour à jamais mémorable pour la France, en forme de drame ou conversations intéressantes entre trois personnes distinguées, et ornée de plusieurs anecdotes secrètes",n.pl.,1,NA
"Vies (les) des hommes illustres de Plutarque, traduites en françois, avec des Remarques historiques et critiques par M. Dacier... Nouvelle édition",Maestricht,14,Histoire
Vilhelmine: poème héroi-comique,London,1,Belles-Lettres
"Voyage à l'isle de France, à l'isle de Bourbon, au cap de Bonne-Espérance",Neuchâtel,2,Histoire
"Voyage au Pôle austral et autour du monde, fait sur les vaisseaux de roi l'Aventure & la Résolution en 1772, 1773, 1774 & 1775",Paris,6,Histoire
"Voyage dans les mers de l'Inde, fait par ordre du Roi à l'occasion du passage de Vénus sur le disque du soleil, le 6 juin 1761 et le 3 du même mois 1769",En Suisse,5,Histoire
"Voyage de Robertson aux terres australes, traduit sur le manuscrit anglais",Amsterdam,1,Belles-Lettres
"Voyage de Vienne à Belgrade et à Kilianova, dans le pays des Tartares Budziacs et Nogais, dans la Crimée et de Kaffa à Constantinople au travers de la mer Noire, avec le retour à Vienne par Trieste, fait dans les années 1768, 1769 et 1770 par Nicolas Ernest Kleemann... traduit de l'allemand",Neuchâtel,1,Histoire
Voyage d'un Suisse dans différentes colonies d'Amérique pendant la dernière guerre: avec une table d'observations météorologiques faites à Saint-Domingue,Neuchâtel,1,Histoire
"Voyage de M. Niebuhr en Arabie et en d'autres pays de l'Orient, avec l'extrait de sa description de l'Arabie; et des observations de Mr. Forskal; avec des figures en taille-douce et des cartes géographiques",En Suisse,2,Histoire
"Voyage en Dalmatie, par M. l'abbé Fortis, traduit de l'italien",Berne,2,Histoire
"Voyage en Espagne et en Portugal dans l'année 1774, avec une relation de l'Expédition des Espagnoles contre les Algériens en 1775, par le major W. Dalrymple. Traduit de l'anglois par un officier françois",Paris,1,Histoire
"Voyage en Portugal et en Espagne fait en 1772 et 1773, par Richard Twiss... traduit de l'anglois, orné d'une carte des deux royaumes",Berne,1,Histoire
Voyage en Sicile et à Malthe,London; Neuchâtel,2,Histoire
"Voyage en Sicile et dans la Grande Grèce, adressé par l'auteur à son ami M. Winckelmann; traduit de l'allemand, accompagné de notes du traducteur et d'autres additions intéressantes",Lausanne,1,Histoire
Voyage historique et littéraire dans la Suisse occidentale,Neuchâtel,2,Histoire
"Voyage minéralogique et physique de Bruxelles à Lausanne... fait en 1782, par M. le Cte Grégoire de R.",Lausanne,1,Science et Arts
"Voyages dans les colonies du milieu de l'Amérique Septentrionale, faits en 1759 & 1760: avec des observations sur l'état des colonies",Lausanne,1,Histoire
"Voyages de Richard Pockocke... en Orient, dans l'Egypte, l'Arabie, la Palestine, la Syrie, la Grèce, la Thrace, etc. etc.",Neuchâtel,6,Histoire
Voyages minéralogiques dans le gouvernement d'Aigle et une partie du Vallais... par M. le Cte G. de Razoumowsky,Lausanne,1,Science et Arts
"Voyageur (le) américain, ou Observations sur l'etat actuel, la culture, le commerce des colonies britanniques en Amérique... Adressées par un négociant expérimenté, en forme de lettres, au très-honorable comte............ Traduit de l'anglois, augmenté d'un Précis sur l'Amérique Septentrionale & la République des Treize-Etats-Unis. Par M. J. H. M......",Amsterdam,1,Histoire
"Yu le Grand et Confucius, histoire chinoise, par M. Clerc",Soissons,1,Belles-Lettres
Zoé: drame en trois actes,Neuchâtel,1,Belles-Lettres
Deutsche Bibliothek der schönen Wissenschaften,Halle,16,Science et Arts
"Voyage en Sibérie fait par ordre du roi en 1761, contenant les moeurs, les usages des Russes et l'état actuel de cette puissance, la description géographique et le nivellement de la route de Paris à Tobolsk, l'histoire naturelle de la même route... par M. l'abbé Chappe d'Auteroche... - Voyage en Sibérie contenant la description du Kamtchatka... par M. Kracheninnikow... traduit du russe",Paris,3,Histoire
Description des arts et métiers,Paris,41,Science et Arts
"Histoire du patriotisme françois; ou, Nouvelle histoire de France, dans laquelle en s'est principalement attaché à décrire les traits de patriotisme qui ont illustré nos rois, la noblesse & le peuple françois, depuis l'origine de la monarchie jusqu'à nos jours",Paris,6,Histoire
Allgemeine deutsche Bibliothek,Kehl,118,Belles-Lettres
"Nouveau voyage autour du monde, par Le Gentil",n.pl.,3,Histoire
[Sur les toiles de Cotton],n.pl.,1,Undetermined
"Museum rusticum et commerciale = oder auserlesene Schriften den Ackerbau, die Handlung... betreffend... aus dem Englischen übersetzet, und mit einigen Anmerkungen begleitet von Johann-Joachim Schwabe",Leipzig,10,Science et Arts
"Schauplatz der Künste und Handwerke, oder, Vollständige Beschreibung derselben",Berlin; Leipzig,20,Science et Arts
[Springler sur les métiers],n.pl.,4,Science et Arts
"Lettres du comte Algarotti sur la Russie, contenant l'état du commerce, de la marine, des revenus, & des forces de cet empire: avec l'histoire de la guerre de 1735 contre les Turcs, & des observations sur la mer Baltique, & la mer Caspienne",London,1,Histoire
[Dictionnaire de commerce],n.pl.,1,Science et Arts
Bulle: In Coena Domini,n.pl.,4,Jurisprudence
Traité des pêches et histoire des poissons,Paris,2,Science et Arts
Tableau de la monarchie française [discours préliminaire],n.pl.,1,Histoire
Confidence philosophique,London,1,Belles-Lettres
"Traité de l'épilepsie: faisant le tome troisième du ""Traité des nerfs et de leurs maladies"", par Mr. Tissot, D.M. etc",Lausanne; Paris,1,Science et Arts
